names,dates,ratings,site
La pesadilla termina,2021-12-17,K,ffnet
Diversis Mundi Magia Actum,2019-10-14,T,ffnet
De nuevo,2021-12-16,K,ffnet
Un paso hacia el paraíso,2021-12-16,K,ffnet
Milagros y magia,2021-12-15,K,ffnet
Pretendientes,2021-12-15,K+,ffnet
Sola nunca más,2021-12-14,K,ffnet
Ámame o te mataré,2021-12-14,K+,ffnet
¿Qué pasaría si?,2021-12-14,K+,ffnet
Lógica,2021-12-13,K,ffnet
Vendí mi felicidad,2021-12-11,K,ffnet
Mermaid Death,2021-12-11,K,ffnet
Si mañana es el último día,2021-12-10,K,ffnet
Óleo sobre lienzo,2021-12-10,K,ffnet
Why no high-intelligent people make a contract,2021-12-07,K,ffnet
Dreamless Nightmare,2021-12-03,T,ffnet
YachiMifu One-Shot Collection,2021-03-17,T,ffnet
Cita sobre hielo,2021-11-19,K,ffnet
Un poco más,2021-11-19,M,ffnet
"Meditations on Philosophy, or how to be magic Socrates",2020-09-11,T,ffnet
Grief Diagrams,2021-11-06,T,ffnet
Weaving a Path to Dawn,2021-09-03,T,ffnet
Trio Finale,2021-10-21,M,ffnet
Jugando FIFA,2021-10-13,K+,ffnet
El despues de morir,2021-10-13,K+,ffnet
Cancionero Madohomu,2021-10-04,K,ffnet
If She Knew,2021-10-03,T,ffnet
Requiem of Innocence,2021-09-10,M,ffnet
Remember,2021-09-11,K,ffnet
Ferita Ingannevole,2021-09-18,T,ffnet
Wish Warriors -Puella Magi Dresden Magica-,2020-11-11,T,ffnet
Sky Valley,2021-09-09,T,ffnet
My life as Hitomi Shizuki in the days leading up to Madoka(EXP),2021-09-10,T,ffnet
Hameru's Revenge,2021-09-02,M,ffnet
Tercer Contrato,2021-09-01,K,ffnet
You're Nothing Like Me,2021-08-28,M,ffnet
Puella Magi Yūko Magica,2012-10-02,T,ffnet
Ship Of Theseus,2021-08-22,K,ffnet
Wo ist die Käse?,2021-08-20,K+,ffnet
Rage Against the Reflection,2021-08-20,M,ffnet
Cuore Sanguinante,2021-08-19,T,ffnet
人なるモノ　 ｂｙ　ａｎｙ　ｏｔｈｅｒ　ｎａｍｅ,2021-08-18,T,ffnet
A slough of interrupted dreams,2021-08-17,T,ffnet
I'm Always Going To Remember You,2020-08-13,K,ffnet
Madoka Mangica,2021-08-15,T,ffnet
Sayaka Gets Cancer,2021-08-09,T,ffnet
What's yours is is mine and mine is yours,2021-06-03,T,ffnet
Suzoka Magica,2021-08-07,T,ffnet
Nagisa Takes a Nap: The Movie,2021-08-06,T,ffnet
Negated Universe Misadventures,2017-01-17,T,ffnet
evaporate,2021-07-14,T,ffnet
I ACTUALLY POSSESSED HOMURA?,2018-10-30,T,ffnet
Jotta en horjuisi,2021-07-28,K+,ffnet
Pelear o volar,2021-07-26,K,ffnet
I Love You More (Than You'll Ever Know),2021-03-14,T,ffnet
Nagisa Gets Kidnapped,2021-07-21,M,ffnet
Madoka shoots up a middle school,2021-07-21,M,ffnet
Altramuz,2021-07-17,K,ffnet
Paraguas a tu lado,2021-07-16,K,ffnet
Deseo y plenitud,2021-07-15,K,ffnet
Unholy Confessions,2016-05-20,T,ffnet
Momentos como estos,2021-07-13,K,ffnet
Ashes in the Snow,2020-12-19,T,ffnet
Primer y último beso,2021-07-08,K,ffnet
Not Bieng a douche in Puella Magi,2019-04-09,T,ffnet
Messiah,2021-07-07,T,ffnet
Ella es mi luz,2021-07-06,K,ffnet
Hilo rojo,2021-07-02,K,ffnet
El futuro no existe,2021-06-30,K,ffnet
Algún día,2021-06-28,K,ffnet
Skate,2021-06-21,K,ffnet
Caffeinated Feelings,2016-09-15,T,ffnet
Viendo las nubes,2021-06-18,K,ffnet
The Sword of Justice and the Shield of Time,2013-12-29,T,ffnet
Estrellas,2021-06-17,K,ffnet
Seeing Clearly,2020-06-09,T,ffnet
Suave y agridulce,2021-06-14,K,ffnet
Audacia,2021-06-12,K,ffnet
Arbusto conveniente,2021-06-11,K,ffnet
Tomadas de las manos,2021-06-10,K,ffnet
Esa chica de pelo rosa,2021-06-08,K+,ffnet
Discusión antes de una noche,2021-06-07,K+,ffnet
Forget-Me-Not,2016-12-01,M,ffnet
Nagisa Blows Up China and North Korea,2021-06-05,T,ffnet
Un hermoso y triste sueño,2021-06-03,K,ffnet
Viéndote,2021-06-03,K,ffnet
The Misadventures of Gary Stupid: Worst Contract EVER,2021-06-01,T,ffnet
Yendo abajo,2021-05-31,K,ffnet
Forever,2021-05-29,K,ffnet
Cariñito,2021-05-28,K+,ffnet
Scar,2021-05-27,K,ffnet
Exposición en clases,2021-05-26,K,ffnet
Yo te necesito,2021-05-25,K,ffnet
"Triste perdida, gran ganancia",2021-05-24,K,ffnet
Casandra,2021-05-22,K,ffnet
Nadie nos dijo que sería tan complicado,2021-05-21,K,ffnet
La más guapa de la noche,2021-05-20,K,ffnet
Iluminaste mi corazón,2021-05-18,K,ffnet
La cosa más hermosa del mundo,2021-05-17,K,ffnet
Lacrime del Passato,2021-05-12,T,ffnet
A Side Only You Know,2021-05-12,M,ffnet
De parada,2021-04-27,K,ffnet
A Golden Rainbow,2021-02-25,K+,ffnet
Perfectly Together,2021-04-18,M,ffnet
Mahou Shoujo Homuro Magica: Final Jump,2011-08-26,T,ffnet
Lesson Zero,2021-04-11,K,ffnet
Two Worlds,2021-04-06,T,ffnet
Ribbons,2021-03-31,K,ffnet
Puella Magi Rin Magica: Fukenkōna Shūchaku,2021-03-23,T,ffnet
Princess,2021-03-13,K,ffnet
¿Qué es el amor?,2021-03-10,K,ffnet
Tokiko's Travelogues,2020-04-17,K+,ffnet
Can I Just Eat My Lunch In Peace?,2020-08-25,T,ffnet
Magical Girls,2021-03-04,T,ffnet
Late Night Conversation,2021-03-03,T,ffnet
Rivals,2021-03-01,K+,ffnet
Homura's Smoke Break,2021-02-24,T,ffnet
Other Voices,2021-02-24,T,ffnet
A Last Farewell,2021-02-23,K,ffnet
The Long Goodbye,2019-08-11,T,ffnet
Friendly Competition,2021-02-20,M,ffnet
The Five Exceptions of Bahtor,2021-02-18,T,ffnet
Girls Can't Love Girls,2021-02-16,T,ffnet
Ode to Felicia Mitsuki,2021-02-15,K,ffnet
Birthday Show,2021-02-12,M,ffnet
Fight or Flight,2021-02-12,K+,ffnet
Second Wish,2018-05-21,T,ffnet
Fiore Dell'inferno,2021-02-07,M,ffnet
Queen of War,2021-01-22,T,ffnet
Color of Love,2020-05-29,K,ffnet
A Model's Love,2021-02-01,M,ffnet
Loose Threads,2021-02-01,T,ffnet
Being Alone,2021-02-01,M,ffnet
My Beautiful Iroha,2021-02-01,M,ffnet
Crash and Burn,2021-02-01,T,ffnet
"Of Rifles, Ribbons, And The Ratio In-Between",2021-01-31,T,ffnet
Luminous Skylines,2021-01-26,M,ffnet
Hasta lo cursi es diabolico,2021-01-25,K+,ffnet
The Dragon of Mitakihara (Proof of Concept),2021-01-20,T,ffnet
La gema del Sufrimiento,2021-01-08,M,ffnet
Tied By Ribbons,2021-01-16,K+,ffnet
Madoka Magica: Frozen Midnight,2021-01-09,K+,ffnet
Madoka Comes to America,2019-09-10,T,ffnet
To be Grateful,2021-01-04,T,ffnet
Creation Magica,2020-10-07,T,ffnet
Winter Date,2020-12-25,K+,ffnet
Hitomi Loves Girls,2017-11-19,M,ffnet
Prelude to the Funeral of Akemi Homura,2020-12-19,T,ffnet
Full Circle,2020-07-06,T,ffnet
2021 New Year Adventure,2020-12-12,K,ffnet
The Haunted Hotel,2020-10-25,K+,ffnet
Nuestro Lugar en el Mundo,2020-07-25,M,ffnet
Cotton Candy,2020-11-27,T,ffnet
Marriage,2020-11-23,K,ffnet
A flame in the mirror,2020-02-24,M,ffnet
Puella Magi Mabel Magica,2020-11-08,T,ffnet
Little White Lie,2020-11-14,K+,ffnet
Humilde favor,2020-11-09,K+,ffnet
Misery Record,2020-05-08,T,ffnet
A Day at the Movies,2020-11-04,T,ffnet
アシュリーの別れ,2020-11-01,T,ffnet
Ashley's Goodbye,2020-10-31,T,ffnet
A Red Umbrella,2020-10-22,K+,ffnet
Un pequeño desastre vecinal,2020-10-23,M,ffnet
New Homura,2020-10-21,K+,ffnet
Homura Gets Therapy,2020-06-27,T,ffnet
A Priceless Reward,2020-09-20,K,ffnet
Paradiso Sognato,2019-09-01,T,ffnet
"Sakura Kyoko n'est pas la coupable, mais la victime",2020-08-31,K+,ffnet
Let's Run Around and See,2020-08-24,K,ffnet
you'll be left in the dust,2020-08-24,T,ffnet
Desperation of a Nutcracker,2020-08-16,M,ffnet
Puer Magi Kyosuke,2017-12-29,T,ffnet
The Manga Artist and the Prodigy,2020-08-15,K+,ffnet
La desgracia tras la felicidad,2020-01-14,T,ffnet
And Then She Smiled,2020-08-07,K+,ffnet
Hollow Point,2019-10-13,M,ffnet
La pucelle de Kamihama,2020-08-04,T,ffnet
The Other Way,2020-06-28,T,ffnet
Aurea Puellae,2020-06-20,M,ffnet
Madoka Rider,2020-07-27,K+,ffnet
Last Run (PMMM AU),2019-11-28,K+,ffnet
October Child,2020-07-19,T,ffnet
Celos nivel Madohomu,2020-07-13,T,ffnet
Una carta a escondidas,2020-07-09,K,ffnet
The Information,2020-07-07,T,ffnet
Homura Hotel,2019-12-31,T,ffnet
Somewhere Far Beyond,2015-04-20,M,ffnet
Emotion born from Chaos: A story untold,2014-04-18,T,ffnet
Ninja in the bath,2020-07-01,K+,ffnet
Savage,2020-06-25,T,ffnet
Variations on Kiss the Rain,2020-05-02,K+,ffnet
Un beso de segundos,2020-06-24,K,ffnet
Softly and Sweetly,2018-12-20,M,ffnet
A Twist In The Myth,2017-10-20,T,ffnet
Juntas para siempre,2020-06-19,M,ffnet
"Hikari Furu (ひかりふる) -Light Falls, Sagitta Luminis Fan English lyrics",2020-06-19,K+,ffnet
Sana's Link,2020-06-03,T,ffnet
Madoka magica story of a magical boy,2018-07-17,T,ffnet
Not Enough Cooks,2020-06-14,K+,ffnet
Puella Magi Madoka Magica: Separation,2020-04-28,T,ffnet
Maldita rosquilla,2020-06-05,K,ffnet
Hunter,2019-02-16,T,ffnet
Midnight Sun,2020-06-02,T,ffnet
Rubies,2020-05-31,K,ffnet
The day and the night,2020-05-30,K,ffnet
Magical Madoka's retirement life,2020-05-29,K+,ffnet
Celos nivel Kyosaya,2020-05-26,K+,ffnet
Una enana rosa y una badass pasiva,2020-05-19,M,ffnet
A Certain Week of Their Summer Vacation,2020-05-19,T,ffnet
Pastillas para dormir,2020-05-18,K,ffnet
A Distant Shine,2019-02-01,T,ffnet
La Rosa de Mitakihara,2020-05-13,T,ffnet
Jugando al escondite,2020-05-08,K+,ffnet
Palito ganador,2020-05-07,K,ffnet
Un lemon de dos idiotas,2020-05-06,M,ffnet
Yin-yang en gris,2020-05-04,T,ffnet
The Persistence of Memory,2014-10-17,T,ffnet
¿Que le paso al pianista?(one-shot),2020-05-02,K,ffnet
Cuarentena y dos idiotas,2020-04-22,K+,ffnet
Aislados del mundo,2020-04-21,T,ffnet
Puella Magi Madoka Magica: The Devotion Story,2018-01-05,T,ffnet
The Incoming Storm,2020-04-18,K+,ffnet
Night wolf awakens,2020-04-06,M,ffnet
Magical Challenges,2011-05-11,T,ffnet
Quit lazing around!,2020-04-16,T,ffnet
"Dormi Bene, Amore Mia",2020-04-14,M,ffnet
2020,2020-04-09,T,ffnet
"Weep, My Lovely",2020-03-25,M,ffnet
Geschädigte Lycoris,2014-08-05,M,ffnet
Merken,2019-02-18,T,ffnet
Magical Retirement,2020-03-14,K,ffnet
Birthday for Madoka,2020-03-12,T,ffnet
The Witch of Time Saves Nine,2020-02-26,T,ffnet
Chemical Wedding,2020-02-29,T,ffnet
Rise,2020-02-23,K,ffnet
Gold and Crimson,2020-02-21,M,ffnet
Last Night,2020-02-21,M,ffnet
Her First Valentine,2020-02-15,T,ffnet
Finally! A Perfect Date!,2020-02-09,K+,ffnet
Heavenward,2020-02-09,T,ffnet
"Please, I only want to make the world a better place",2020-02-04,T,ffnet
Cuentos alternativos de Kamihama,2020-02-06,M,ffnet
Bright Yellow Flower,2020-01-31,M,ffnet
"Impending Fate, All Flowers Die",2020-01-22,K+,ffnet
"don't cry, laugh",2020-01-21,K,ffnet
Bittersweet and Strange,2020-01-21,K,ffnet
Every Piece in Your Hand,2020-01-21,K,ffnet
Lupinus,2020-01-21,K+,ffnet
their wishes beget despair,2020-01-11,T,ffnet
La otra verdad,2020-01-08,K,ffnet
Overcum,2020-01-06,T,ffnet
Noche de fútbol,2020-01-01,K,ffnet
Homura & Kyubey Go to Hooters,2020-01-01,T,ffnet
The Lizard Girl,2019-12-27,T,ffnet
The Witch of Christmas,2019-12-10,T,ffnet
Just the Two of Us (and Madoka),2018-12-23,M,ffnet
Hasta mañana,2019-12-23,K,ffnet
Entre colmillos y sotanas,2019-12-14,K+,ffnet
mode of unloved,2019-12-08,T,ffnet
Madoka Magica Musical Tales,2019-11-25,T,ffnet
Hasta en la cancha,2019-12-03,M,ffnet
When a Dying Humanity Meets a Pink of Fifty Shades,2016-01-06,T,ffnet
Self-Inflicted Achromatic,2018-06-17,T,ffnet
Serenity Prayer,2019-11-04,K+,ffnet
Worth it (MadoSaya Fanfic),2019-10-05,T,ffnet
Magical Gals Being Pals,2019-10-25,T,ffnet
The Convenient Bush,2019-10-13,K+,ffnet
Blades And Bucklers,2018-09-01,T,ffnet
Puella Magi: Crimson Tears,2018-12-22,M,ffnet
Cool story,2019-10-05,T,ffnet
Primera cita,2019-10-03,K,ffnet
New Love,2019-10-03,K+,ffnet
Blue Velvet,2019-10-03,T,ffnet
Marigold Perfume,2019-10-02,T,ffnet
Sour Grapes,2019-10-02,T,ffnet
Nocturne,2011-12-15,T,ffnet
The War of the Fallen Flowers,2019-09-30,M,ffnet
Dear Diary,2013-07-11,T,ffnet
Madoverse,2019-09-25,T,ffnet
The Dream We Awoke To,2019-09-25,M,ffnet
Un rato intimo de dos idiotas,2019-09-24,M,ffnet
Una noche fantastica,2019-09-24,M,ffnet
"Memories Like Butterflies, Feelings Like Waves",2019-09-18,K,ffnet
A Shelter for Just Two Girls,2019-09-12,T,ffnet
Puer Magi Hiro Magica,2019-07-04,T,ffnet
Doppelganger's Dance,2019-09-10,T,ffnet
Puella Magi Madoka Magica: The Quintuple-color team plus an extra!,2019-03-20,M,ffnet
He Who Regrets,2019-09-06,T,ffnet
"I parted, you parted",2019-09-06,K,ffnet
Ennegram,2019-09-06,K,ffnet
Limbic System,2019-09-06,T,ffnet
End of Karma,2018-08-01,T,ffnet
Un par impar en un bar,2019-08-28,M,ffnet
Transient Loneliness,2019-08-27,K+,ffnet
"Problemas de dos amigas, dos rivales y dos novias",2019-08-20,K,ffnet
Hap birth,2019-08-21,T,ffnet
My Lovely Rose (Proof of Concept),2019-08-21,T,ffnet
"I hope you can tell, if you're doing good or doing well",2019-08-21,M,ffnet
Caffeine and Grounded Coffee Beans,2019-08-20,K,ffnet
Crushed Canvas,2019-08-20,T,ffnet
Confessions,2019-08-18,T,ffnet
Writing System,2019-08-14,K,ffnet
you know what they say about grudges (they'll poison you),2019-08-14,K,ffnet
It Rained Down,2019-08-12,K,ffnet
See Her There at the Corner,2019-08-12,K,ffnet
Gone Shopping,2019-08-06,T,ffnet
La noche más difícil de todas,2019-08-05,M,ffnet
Chaconne,2019-07-24,T,ffnet
The Endless Beginning,2019-08-03,K,ffnet
In Which Music Becomes Distorted,2019-07-30,T,ffnet
Asserting Dominance,2019-07-30,M,ffnet
Heroes and Villains,2017-12-02,T,ffnet
How To (Fail) To Kill An Incubator,2019-06-22,T,ffnet
umbrella at your side,2019-07-24,K,ffnet
Jupiter,2019-07-24,K,ffnet
Magical Rider Homura Magica,2019-06-08,T,ffnet
Sleepover Etiquette,2019-07-15,M,ffnet
Special Dish,2019-07-12,T,ffnet
Puella Magi Madoka Magica: Accession - Giantess Story,2019-07-11,T,ffnet
Loving Kyouko,2019-07-09,M,ffnet
Five Minutes: Kyouko Leaves Sayaka's Body Behind,2019-07-06,M,ffnet
Send Nudes,2019-07-05,M,ffnet
Mercy,2019-07-05,T,ffnet
Haciendo lo que se debe,2019-07-04,M,ffnet
Rubra Fantasma,2013-02-28,T,ffnet
Il diavolo e il dio,2019-07-02,T,ffnet
"Roads Traveled, and Traveled Again",2019-07-01,K+,ffnet
Amalgamation,2019-06-29,T,ffnet
Bet,2019-06-29,K,ffnet
The Rot of Paper,2019-06-29,K,ffnet
Fortissimus,2019-06-29,K+,ffnet
temp,2019-06-27,M,ffnet
Magia Report: Side Story,2019-06-23,T,ffnet
To be or not to be,2019-06-25,K+,ffnet
Puella Magi Madoka Magica Rewind: Apocalypse,2018-10-20,T,ffnet
Un día común en la playa,2019-06-11,K,ffnet
Year zero,2016-08-05,M,ffnet
New Year Kiss,2019-06-15,T,ffnet
Chicago,2018-05-05,T,ffnet
101,2019-06-08,T,ffnet
Reunion,2019-04-29,T,ffnet
Lo más gratificante,2019-06-04,K,ffnet
Hoshi ni aru,2019-06-03,K,ffnet
Gentle Insanity,2019-06-01,T,ffnet
Reunião,2019-04-20,T,ffnet
Promises Made Long Ago,2019-05-28,K+,ffnet
Sleepover at Homura's Place,2018-12-10,T,ffnet
USELESS and FORGotten,2019-05-23,T,ffnet
Kreise der Spiralen,2013-06-28,K+,ffnet
Every Breath You Take,2017-02-07,M,ffnet
Anuncio Importante,2019-05-16,K,ffnet
Honoka,2019-05-11,K,ffnet
Puella Magi Madoka Magica Hell and Paradise,2017-10-05,T,ffnet
Stupid Sexy Kyoko,2019-04-25,K+,ffnet
Blue Dream,2019-04-24,K,ffnet
The Tragic Holy Quintet,2017-03-27,T,ffnet
The Badass and the God s Daugther,2019-04-21,K+,ffnet
dyING,2019-04-20,T,ffnet
Madoka Magica Movie Wrong Side of Heaven,2019-02-17,T,ffnet
hello me child,2019-04-20,T,ffnet
Hesitance (Proof of Concept),2019-04-19,T,ffnet
Historia de intratumba,2019-04-19,K,ffnet
Caribbean Rim,2018-07-20,T,ffnet
wintergrass ふゆぐさ,2019-04-16,K+,ffnet
Prayers and Wishes,2019-04-16,T,ffnet
Our Souls Together,2019-04-16,T,ffnet
ー夏草 summer grass－,2019-04-11,K+,ffnet
fuTURE,2019-04-13,T,ffnet
Arcana,2018-12-12,T,ffnet
"The Goddess and The Lizard, and Other Stories",2018-07-02,K+,ffnet
Twenty-three,2019-04-03,M,ffnet
Timeline twenty-two,2019-04-03,T,ffnet
ほむら物語　(The Tale of Homura) (Homura Monogatari),2019-04-01,T,ffnet
保無樂道八夢 (Homura-chan),2017-02-11,K+,ffnet
Tu eres mía pero hazme toda tuya,2019-03-28,M,ffnet
Chicken wing,2019-03-26,T,ffnet
Saccharine,2019-01-10,T,ffnet
Soul Intercourse,2019-03-01,T,ffnet
Una deuda de muchas rondas,2019-03-23,T,ffnet
Inner peace,2019-03-22,T,ffnet
Programación mágica de Mitakihara,2019-03-22,K,ffnet
Doka Don't You Know,2018-10-30,T,ffnet
Las bizarras aventuras de Homura,2019-03-17,K,ffnet
Meet My Parents (Proof of Concept),2019-03-15,T,ffnet
Stray Demon (Proof of Concept),2019-03-08,T,ffnet
Algo nuevo,2019-03-05,T,ffnet
Mírate en mí,2019-03-04,K+,ffnet
Puella Magi Vampire Magica,2018-09-18,T,ffnet
How Long Did You Think This Could Last?,2019-02-26,K,ffnet
"Cuando la fortuna sonríe, besa y abraza",2019-02-25,K,ffnet
El milagro de estar a tu lado,2019-02-25,K+,ffnet
Puella Magi Madoka Magica: Ascendance,2018-11-25,M,ffnet
La viajera del amor,2019-02-17,K+,ffnet
The Girl of Misfortune,2019-02-13,T,ffnet
Madoka's Letter,2019-02-04,T,ffnet
Especial San Valentín: Madohomu,2019-02-03,K,ffnet
Especial San Valentín: Kyosaya,2019-02-02,K,ffnet
Uniforme de gimnasia,2019-01-30,K+,ffnet
Una noche extraña y fantástica con una perdedora,2019-01-24,K+,ffnet
Người gác cổng của Chúa,2019-01-23,K,ffnet
Esto es una ilusión,2019-01-16,K,ffnet
Redención,2018-08-01,K,ffnet
Hentai Kamen,2019-01-14,K,ffnet
Una revelación picante en un ardiente momento,2019-01-12,K+,ffnet
Un duelo samurai,2019-01-08,K,ffnet
Contemplative Morning Drink,2019-01-08,T,ffnet
¿Sexo o Bullying?,2019-01-04,K+,ffnet
Aevitas,2016-03-15,T,ffnet
Un día bizarro,2018-12-29,K,ffnet
Regalos para mis fans,2018-12-28,K,ffnet
Spider Lilies,2017-12-17,T,ffnet
Un deseo por alguien especial,2018-12-27,K,ffnet
Someone Else's Christmas Story,2018-12-26,K+,ffnet
Eine unheimliche Nacht,2018-12-21,K,ffnet
Todo por un pavo,2018-12-20,K,ffnet
The Rigors of Love,2013-10-23,T,ffnet
A Red and Yellow Winter,2018-12-10,K,ffnet
Especial Navidad: Madohomu 2,2018-12-09,K,ffnet
"Heel, Toe",2018-12-09,K,ffnet
Especial Navidad: Madohomu,2018-12-08,K,ffnet
Especial Navidad: Kyosaya 2,2018-12-06,K,ffnet
Especial Navidad: Kyosaya,2018-12-04,K,ffnet
My Heart is tired,2018-10-10,T,ffnet
Why magic girls exist but magic guys don't,2015-10-13,T,ffnet
Madres consecuentes,2018-11-22,K,ffnet
From Across the Seas,2015-01-29,T,ffnet
Starcrossed Sisters,2017-03-12,T,ffnet
Contracted a Kiss,2018-11-27,K+,ffnet
ever green,2018-11-26,T,ffnet
Blancanieves,2018-11-21,K,ffnet
