,names,dates,ratings,languages
122,Día normal,2021-12-17,K,Spanish
123,La pesadilla termina,2021-12-17,K,Spanish
124,Diversis Mundi Magia Actum,2019-10-14,T,English
125,De nuevo,2021-12-16,K,Spanish
126,Un paso hacia el paraíso,2021-12-16,K,Spanish
127,Milagros y magia,2021-12-15,K,Spanish
128,Pretendientes,2021-12-15,K+,Spanish
129,Sola nunca más,2021-12-14,K,Spanish
130,Ámame o te mataré,2021-12-14,K+,Spanish
131,¿Qué pasaría si?,2021-12-14,K+,Spanish
132,Lógica,2021-12-13,K,Spanish
133,Vendí mi felicidad,2021-12-11,K,Spanish
134,Mermaid Death,2021-12-11,K,Spanish
135,Si mañana es el último día,2021-12-10,K,Spanish
136,Óleo sobre lienzo,2021-12-10,K,Spanish
137,Why no high-intelligent people make a contract,2021-12-07,K,English
138,Dreamless Nightmare,2021-12-03,T,English
139,YachiMifu One-Shot Collection,2021-03-17,T,English
140,Cita sobre hielo,2021-11-19,K,Spanish
141,Un poco más,2021-11-19,M,Spanish
142,"Meditations on Philosophy, or how to be magic Socrates",2020-09-11,T,English
143,Grief Diagrams,2021-11-06,T,English
144,Weaving a Path to Dawn,2021-09-03,T,English
145,Trio Finale,2021-10-21,M,English
146,Jugando FIFA,2021-10-13,K+,Spanish
147,El despues de morir,2021-10-13,K+,Spanish
148,Cancionero Madohomu,2021-10-04,K,Spanish
149,If She Knew,2021-10-03,T,English
150,Requiem of Innocence,2021-09-10,M,English
151,Remember,2021-09-11,K,English
152,Ferita Ingannevole,2021-09-18,T,English
153,Wish Warriors -Puella Magi Dresden Magica-,2020-11-11,T,English
154,Sky Valley,2021-09-09,T,English
155,My life as Hitomi Shizuki in the days leading up to Madoka(EXP),2021-09-10,T,English
156,Hameru's Revenge,2021-09-02,M,English
157,Tercer Contrato,2021-09-01,K,Spanish
158,You're Nothing Like Me,2021-08-28,M,English
159,Puella Magi Yūko Magica,2012-10-02,T,English
160,Ship Of Theseus,2021-08-22,K,English
161,Wo ist die Käse?,2021-08-20,K+,English
162,Rage Against the Reflection,2021-08-20,M,English
163,Cuore Sanguinante,2021-08-19,T,English
164,人なるモノ　 ｂｙ　ａｎｙ　ｏｔｈｅｒ　ｎａｍｅ,2021-08-18,T,English
165,A slough of interrupted dreams,2021-08-17,T,English
166,I'm Always Going To Remember You,2020-08-13,K,English
167,Madoka Mangica,2021-08-15,T,English
168,Sayaka Gets Cancer,2021-08-09,T,English
169,What's yours is is mine and mine is yours,2021-06-03,T,English
170,Suzoka Magica,2021-08-07,T,English
171,Nagisa Takes a Nap: The Movie,2021-08-06,T,English
172,Negated Universe Misadventures,2017-01-17,T,English
173,evaporate,2021-07-14,T,English
174,I ACTUALLY POSSESSED HOMURA?,2018-10-30,T,English
175,Jotta en horjuisi,2021-07-28,K+,Finnish
176,Pelear o volar,2021-07-26,K,Spanish
177,I Love You More (Than You'll Ever Know),2021-03-14,T,English
178,Nagisa Gets Kidnapped,2021-07-21,M,English
179,Madoka shoots up a middle school,2021-07-21,M,English
180,Altramuz,2021-07-17,K,Spanish
181,Paraguas a tu lado,2021-07-16,K,Spanish
182,Deseo y plenitud,2021-07-15,K,Spanish
183,Unholy Confessions,2016-05-20,T,English
184,Momentos como estos,2021-07-13,K,Spanish
185,Ashes in the Snow,2020-12-19,T,English
186,Primer y último beso,2021-07-08,K,Spanish
187,Not Bieng a douche in Puella Magi,2019-04-09,T,English
188,Messiah,2021-07-07,T,English
189,Ella es mi luz,2021-07-06,K,Spanish
190,Hilo rojo,2021-07-02,K,Spanish
191,El futuro no existe,2021-06-30,K,Spanish
192,Algún día,2021-06-28,K,Spanish
193,Skate,2021-06-21,K,Spanish
194,Caffeinated Feelings,2016-09-15,T,English
195,Viendo las nubes,2021-06-18,K,Spanish
196,The Sword of Justice and the Shield of Time,2013-12-29,T,English
197,Estrellas,2021-06-17,K,Spanish
198,Seeing Clearly,2020-06-09,T,English
199,Suave y agridulce,2021-06-14,K,Spanish
200,Audacia,2021-06-12,K,Spanish
201,Arbusto conveniente,2021-06-11,K,Spanish
202,Tomadas de las manos,2021-06-10,K,Spanish
203,Esa chica de pelo rosa,2021-06-08,K+,Spanish
204,Discusión antes de una noche,2021-06-07,K+,Spanish
205,Forget-Me-Not,2016-12-01,M,English
206,Nagisa Blows Up China and North Korea,2021-06-05,T,English
207,Un hermoso y triste sueño,2021-06-03,K,Spanish
208,Viéndote,2021-06-03,K,Spanish
209,The Misadventures of Gary Stupid: Worst Contract EVER,2021-06-01,T,English
210,Yendo abajo,2021-05-31,K,Spanish
211,Forever,2021-05-29,K,Spanish
212,Cariñito,2021-05-28,K+,Spanish
213,Scar,2021-05-27,K,Spanish
214,Exposición en clases,2021-05-26,K,Spanish
215,Yo te necesito,2021-05-25,K,Spanish
216,"Triste perdida, gran ganancia",2021-05-24,K,Spanish
217,Casandra,2021-05-22,K,Spanish
218,Nadie nos dijo que sería tan complicado,2021-05-21,K,Spanish
219,La más guapa de la noche,2021-05-20,K,Spanish
220,Iluminaste mi corazón,2021-05-18,K,Spanish
221,La cosa más hermosa del mundo,2021-05-17,K,Spanish
222,Lacrime del Passato,2021-05-12,T,English
223,A Side Only You Know,2021-05-12,M,English
224,De parada,2021-04-27,K,Spanish
225,A Golden Rainbow,2021-02-25,K+,English
226,Perfectly Together,2021-04-18,M,English
227,Mahou Shoujo Homuro Magica: Final Jump,2011-08-26,T,English
228,Lesson Zero,2021-04-11,K,English
229,Two Worlds,2021-04-06,T,English
230,Ribbons,2021-03-31,K,English
231,Puella Magi Rin Magica: Fukenkōna Shūchaku,2021-03-23,T,English
232,Princess,2021-03-13,K,Spanish
233,¿Qué es el amor?,2021-03-10,K,Spanish
234,Tokiko's Travelogues,2020-04-17,K+,English
235,Can I Just Eat My Lunch In Peace?,2020-08-25,T,English
236,Magical Girls,2021-03-04,T,English
237,Late Night Conversation,2021-03-03,T,English
238,Rivals,2021-03-01,K+,Spanish
239,Homura's Smoke Break,2021-02-24,T,English
240,Other Voices,2021-02-24,T,English
241,A Last Farewell,2021-02-23,K,English
242,The Long Goodbye,2019-08-11,T,English
243,Friendly Competition,2021-02-20,M,English
244,The Five Exceptions of Bahtor,2021-02-18,T,English
245,Girls Can't Love Girls,2021-02-16,T,English
246,Ode to Felicia Mitsuki,2021-02-15,K,English
247,Birthday Show,2021-02-12,M,English
248,Fight or Flight,2021-02-12,K+,English
249,Second Wish,2018-05-21,T,English
250,Fiore Dell'inferno,2021-02-07,M,English
251,Queen of War,2021-01-22,T,English
252,Color of Love,2020-05-29,K,English
253,A Model's Love,2021-02-01,M,English
254,Loose Threads,2021-02-01,T,English
255,Being Alone,2021-02-01,M,English
256,My Beautiful Iroha,2021-02-01,M,English
257,Crash and Burn,2021-02-01,T,English
258,"Of Rifles, Ribbons, And The Ratio In-Between",2021-01-31,T,English
259,Luminous Skylines,2021-01-26,M,English
260,Hasta lo cursi es diabolico,2021-01-25,K+,Spanish
261,The Dragon of Mitakihara (Proof of Concept),2021-01-20,T,English
262,La gema del Sufrimiento,2021-01-08,M,Spanish
263,Tied By Ribbons,2021-01-16,K+,English
264,Madoka Magica: Frozen Midnight,2021-01-09,K+,English
265,Madoka Comes to America,2019-09-10,T,English
266,To be Grateful,2021-01-04,T,English
267,Creation Magica,2020-10-07,T,English
268,Winter Date,2020-12-25,K+,English
269,Hitomi Loves Girls,2017-11-19,M,English
270,Prelude to the Funeral of Akemi Homura,2020-12-19,T,English
271,Full Circle,2020-07-06,T,English
272,2021 New Year Adventure,2020-12-12,K,English
273,The Haunted Hotel,2020-10-25,K+,English
274,Nuestro Lugar en el Mundo,2020-07-25,M,Spanish
275,Cotton Candy,2020-11-27,T,English
276,Marriage,2020-11-23,K,Spanish
277,A flame in the mirror,2020-02-24,M,English
278,Puella Magi Mabel Magica,2020-11-08,T,English
279,Little White Lie,2020-11-14,K+,English
280,Humilde favor,2020-11-09,K+,Spanish
281,Misery Record,2020-05-08,T,English
282,A Day at the Movies,2020-11-04,T,English
283,アシュリーの別れ,2020-11-01,T,Japanese
284,Ashley's Goodbye,2020-10-31,T,English
285,A Red Umbrella,2020-10-22,K+,English
286,Un pequeño desastre vecinal,2020-10-23,M,Spanish
287,New Homura,2020-10-21,K+,French
288,Homura Gets Therapy,2020-06-27,T,English
289,A Priceless Reward,2020-09-20,K,English
290,Paradiso Sognato,2019-09-01,T,English
291,"Sakura Kyoko n'est pas la coupable, mais la victime",2020-08-31,K+,French
292,Let's Run Around and See,2020-08-24,K,English
293,you'll be left in the dust,2020-08-24,T,English
294,Desperation of a Nutcracker,2020-08-16,M,English
295,Puer Magi Kyosuke,2017-12-29,T,Spanish
296,The Manga Artist and the Prodigy,2020-08-15,K+,English
297,La desgracia tras la felicidad,2020-01-14,T,Spanish
298,And Then She Smiled,2020-08-07,K+,English
299,Hollow Point,2019-10-13,M,English
300,La pucelle de Kamihama,2020-08-04,T,English
301,The Other Way,2020-06-28,T,English
302,Aurea Puellae,2020-06-20,M,English
303,Madoka Rider,2020-07-27,K+,Spanish
304,Last Run (PMMM AU),2019-11-28,K+,English
305,October Child,2020-07-19,T,English
306,Celos nivel Madohomu,2020-07-13,T,Spanish
307,Una carta a escondidas,2020-07-09,K,Spanish
308,The Information,2020-07-07,T,English
309,Homura Hotel,2019-12-31,T,English
310,Somewhere Far Beyond,2015-04-20,M,English
311,Emotion born from Chaos: A story untold,2014-04-18,T,English
312,Ninja in the bath,2020-07-01,K+,Spanish
313,Savage,2020-06-25,T,Spanish
314,Variations on Kiss the Rain,2020-05-02,K+,English
315,Un beso de segundos,2020-06-24,K,Spanish
316,Softly and Sweetly,2018-12-20,M,English
317,A Twist In The Myth,2017-10-20,T,English
318,Juntas para siempre,2020-06-19,M,Spanish
319,"Hikari Furu (ひかりふる) -Light Falls, Sagitta Luminis Fan English lyrics",2020-06-19,K+,English
320,Sana's Link,2020-06-03,T,English
321,Madoka magica story of a magical boy,2018-07-17,T,English
322,Not Enough Cooks,2020-06-14,K+,English
323,Puella Magi Madoka Magica: Separation,2020-04-28,T,English
324,Maldita rosquilla,2020-06-05,K,Spanish
325,Hunter,2019-02-16,T,Spanish
326,Midnight Sun,2020-06-02,T,English
327,Rubies,2020-05-31,K,English
328,The day and the night,2020-05-30,K,English
329,Magical Madoka's retirement life,2020-05-29,K+,English
330,Celos nivel Kyosaya,2020-05-26,K+,Spanish
331,Una enana rosa y una badass pasiva,2020-05-19,M,Spanish
332,A Certain Week of Their Summer Vacation,2020-05-19,T,English
333,Pastillas para dormir,2020-05-18,K,Spanish
334,A Distant Shine,2019-02-01,T,English
335,La Rosa de Mitakihara,2020-05-13,T,Spanish
336,Jugando al escondite,2020-05-08,K+,Spanish
337,Palito ganador,2020-05-07,K,Spanish
338,Un lemon de dos idiotas,2020-05-06,M,Spanish
339,Yin-yang en gris,2020-05-04,T,Spanish
340,The Persistence of Memory,2014-10-17,T,English
341,¿Que le paso al pianista?(one-shot),2020-05-02,K,Spanish
342,Cuarentena y dos idiotas,2020-04-22,K+,Spanish
343,Aislados del mundo,2020-04-21,T,Spanish
344,Puella Magi Madoka Magica: The Devotion Story,2018-01-05,T,English
345,The Incoming Storm,2020-04-18,K+,English
346,Night wolf awakens,2020-04-06,M,English
347,Magical Challenges,2011-05-11,T,English
348,Quit lazing around!,2020-04-16,T,English
349,"Dormi Bene, Amore Mia",2020-04-14,M,English
350,2020,2020-04-09,T,English
351,"Weep, My Lovely",2020-03-25,M,English
352,Geschädigte Lycoris,2014-08-05,M,English
353,Merken,2019-02-18,T,English
354,Magical Retirement,2020-03-14,K,English
355,Birthday for Madoka,2020-03-12,T,English
356,The Witch of Time Saves Nine,2020-02-26,T,English
357,Chemical Wedding,2020-02-29,T,English
358,Rise,2020-02-23,K,English
359,Gold and Crimson,2020-02-21,M,English
360,Last Night,2020-02-21,M,English
361,Her First Valentine,2020-02-15,T,English
362,Finally! A Perfect Date!,2020-02-09,K+,English
363,Heavenward,2020-02-09,T,English
364,"Please, I only want to make the world a better place",2020-02-04,T,English
365,Cuentos alternativos de Kamihama,2020-02-06,M,Spanish
366,Bright Yellow Flower,2020-01-31,M,English
367,"Impending Fate, All Flowers Die",2020-01-22,K+,English
368,"don't cry, laugh",2020-01-21,K,English
369,Bittersweet and Strange,2020-01-21,K,English
370,Every Piece in Your Hand,2020-01-21,K,English
371,Lupinus,2020-01-21,K+,English
372,their wishes beget despair,2020-01-11,T,English
373,La otra verdad,2020-01-08,K,Spanish
374,Overcum,2020-01-06,T,English
375,Noche de fútbol,2020-01-01,K,Spanish
376,Homura & Kyubey Go to Hooters,2020-01-01,T,English
377,The Lizard Girl,2019-12-27,T,English
378,The Witch of Christmas,2019-12-10,T,English
379,Just the Two of Us (and Madoka),2018-12-23,M,English
380,Hasta mañana,2019-12-23,K,Spanish
381,Entre colmillos y sotanas,2019-12-14,K+,Spanish
382,mode of unloved,2019-12-08,T,Spanish
383,Madoka Magica Musical Tales,2019-11-25,T,English
384,Hasta en la cancha,2019-12-03,M,Spanish
385,When a Dying Humanity Meets a Pink of Fifty Shades,2016-01-06,T,English
386,Self-Inflicted Achromatic,2018-06-17,T,English
387,Serenity Prayer,2019-11-04,K+,English
388,Worth it (MadoSaya Fanfic),2019-10-05,T,English
389,Magical Gals Being Pals,2019-10-25,T,English
390,The Convenient Bush,2019-10-13,K+,English
391,Blades And Bucklers,2018-09-01,T,English
392,Puella Magi: Crimson Tears,2018-12-22,M,English
393,Cool story,2019-10-05,T,English
394,Primera cita,2019-10-03,K,Spanish
395,New Love,2019-10-03,K+,English
396,Blue Velvet,2019-10-03,T,English
397,Marigold Perfume,2019-10-02,T,English
398,Sour Grapes,2019-10-02,T,English
399,Nocturne,2011-12-15,T,English
400,The War of the Fallen Flowers,2019-09-30,M,English
401,Dear Diary,2013-07-11,T,English
402,Madoverse,2019-09-25,T,English
403,The Dream We Awoke To,2019-09-25,M,English
404,Un rato intimo de dos idiotas,2019-09-24,M,Spanish
405,Una noche fantastica,2019-09-24,M,Spanish
406,"Memories Like Butterflies, Feelings Like Waves",2019-09-18,K,English
407,A Shelter for Just Two Girls,2019-09-12,T,English
408,Puer Magi Hiro Magica,2019-07-04,T,English
409,Doppelganger's Dance,2019-09-10,T,English
410,Puella Magi Madoka Magica: The Quintuple-color team plus an extra!,2019-03-20,M,English
411,He Who Regrets,2019-09-06,T,English
412,"I parted, you parted",2019-09-06,K,English
413,Ennegram,2019-09-06,K,English
414,Limbic System,2019-09-06,T,English
415,End of Karma,2018-08-01,T,English
416,Un par impar en un bar,2019-08-28,M,Spanish
417,Transient Loneliness,2019-08-27,K+,English
418,"Problemas de dos amigas, dos rivales y dos novias",2019-08-20,K,Spanish
419,Hap birth,2019-08-21,T,English
420,My Lovely Rose (Proof of Concept),2019-08-21,T,English
421,"I hope you can tell, if you're doing good or doing well",2019-08-21,M,English
422,Caffeine and Grounded Coffee Beans,2019-08-20,K,English
423,Crushed Canvas,2019-08-20,T,English
424,Confessions,2019-08-18,T,English
425,Writing System,2019-08-14,K,English
426,you know what they say about grudges (they'll poison you),2019-08-14,K,English
427,It Rained Down,2019-08-12,K,English
428,See Her There at the Corner,2019-08-12,K,English
429,Gone Shopping,2019-08-06,T,English
430,La noche más difícil de todas,2019-08-05,M,Spanish
431,Chaconne,2019-07-24,T,English
432,The Endless Beginning,2019-08-03,K,Vietnamese
433,In Which Music Becomes Distorted,2019-07-30,T,English
434,Asserting Dominance,2019-07-30,M,English
435,Heroes and Villains,2017-12-02,T,English
436,How To (Fail) To Kill An Incubator,2019-06-22,T,English
437,umbrella at your side,2019-07-24,K,English
438,Jupiter,2019-07-24,K,English
439,Magical Rider Homura Magica,2019-06-08,T,English
440,Sleepover Etiquette,2019-07-15,M,English
441,Special Dish,2019-07-12,T,English
442,Puella Magi Madoka Magica: Accession - Giantess Story,2019-07-11,T,English
443,Loving Kyouko,2019-07-09,M,English
444,Five Minutes: Kyouko Leaves Sayaka's Body Behind,2019-07-06,M,English
445,Send Nudes,2019-07-05,M,English
446,Mercy,2019-07-05,T,English
447,Haciendo lo que se debe,2019-07-04,M,Spanish
448,Rubra Fantasma,2013-02-28,T,English
449,Il diavolo e il dio,2019-07-02,T,English
450,"Roads Traveled, and Traveled Again",2019-07-01,K+,English
451,Amalgamation,2019-06-29,T,English
452,Bet,2019-06-29,K,English
453,The Rot of Paper,2019-06-29,K,English
454,Fortissimus,2019-06-29,K+,English
455,temp,2019-06-27,M,English
456,Magia Report: Side Story,2019-06-23,T,English
457,To be or not to be,2019-06-25,K+,English
458,Puella Magi Madoka Magica Rewind: Apocalypse,2018-10-20,T,English
459,Un día común en la playa,2019-06-11,K,Spanish
460,Year zero,2016-08-05,M,English
461,New Year Kiss,2019-06-15,T,English
462,Chicago,2018-05-05,T,English
463,101,2019-06-08,T,English
464,Reunion,2019-04-29,T,English
465,Lo más gratificante,2019-06-04,K,Spanish
466,Hoshi ni aru,2019-06-03,K,Spanish
467,Gentle Insanity,2019-06-01,T,English
468,Reunião,2019-04-20,T,Portuguese
469,Promises Made Long Ago,2019-05-28,K+,English
470,Sleepover at Homura's Place,2018-12-10,T,English
471,USELESS and FORGotten,2019-05-23,T,English
472,Kreise der Spiralen,2013-06-28,K+,English
473,Every Breath You Take,2017-02-07,M,Spanish
474,Anuncio Importante,2019-05-16,K,Spanish
475,Honoka,2019-05-11,K,Spanish
476,Puella Magi Madoka Magica Hell and Paradise,2017-10-05,T,English
477,Stupid Sexy Kyoko,2019-04-25,K+,English
478,Blue Dream,2019-04-24,K,Spanish
479,The Tragic Holy Quintet,2017-03-27,T,English
480,The Badass and the God s Daugther,2019-04-21,K+,Spanish
481,dyING,2019-04-20,T,English
482,Madoka Magica Movie Wrong Side of Heaven,2019-02-17,T,English
483,hello me child,2019-04-20,T,English
484,Hesitance (Proof of Concept),2019-04-19,T,English
485,Historia de intratumba,2019-04-19,K,Spanish
486,Caribbean Rim,2018-07-20,T,English
487,wintergrass ふゆぐさ,2019-04-16,K+,English
488,Prayers and Wishes,2019-04-16,T,English
489,Our Souls Together,2019-04-16,T,English
490,ー夏草 summer grass－,2019-04-11,K+,English
491,fuTURE,2019-04-13,T,English
492,Arcana,2018-12-12,T,English
493,"The Goddess and The Lizard, and Other Stories",2018-07-02,K+,English
494,Twenty-three,2019-04-03,M,English
495,Timeline twenty-two,2019-04-03,T,English
496,ほむら物語　(The Tale of Homura) (Homura Monogatari),2019-04-01,T,English
497,保無樂道八夢 (Homura-chan),2017-02-11,K+,English
498,Tu eres mía pero hazme toda tuya,2019-03-28,M,Spanish
499,Chicken wing,2019-03-26,T,English
500,Saccharine,2019-01-10,T,English
501,Soul Intercourse,2019-03-01,T,English
502,Una deuda de muchas rondas,2019-03-23,T,Spanish
503,Inner peace,2019-03-22,T,English
504,Programación mágica de Mitakihara,2019-03-22,K,Spanish
505,Doka Don't You Know,2018-10-30,T,English
506,Las bizarras aventuras de Homura,2019-03-17,K,Spanish
507,Meet My Parents (Proof of Concept),2019-03-15,T,English
508,Stray Demon (Proof of Concept),2019-03-08,T,English
509,Algo nuevo,2019-03-05,T,Spanish
510,Mírate en mí,2019-03-04,K+,Spanish
511,Puella Magi Vampire Magica,2018-09-18,T,English
512,How Long Did You Think This Could Last?,2019-02-26,K,English
513,"Cuando la fortuna sonríe, besa y abraza",2019-02-25,K,Spanish
514,El milagro de estar a tu lado,2019-02-25,K+,Spanish
515,Puella Magi Madoka Magica: Ascendance,2018-11-25,M,English
516,La viajera del amor,2019-02-17,K+,Spanish
517,The Girl of Misfortune,2019-02-13,T,English
518,Madoka's Letter,2019-02-04,T,English
519,Especial San Valentín: Madohomu,2019-02-03,K,Spanish
520,Especial San Valentín: Kyosaya,2019-02-02,K,Spanish
521,Uniforme de gimnasia,2019-01-30,K+,Spanish
522,Una noche extraña y fantástica con una perdedora,2019-01-24,K+,Spanish
523,Người gác cổng của Chúa,2019-01-23,K,Vietnamese
524,Esto es una ilusión,2019-01-16,K,Spanish
525,Redención,2018-08-01,K,Spanish
526,Hentai Kamen,2019-01-14,K,Spanish
527,Una revelación picante en un ardiente momento,2019-01-12,K+,Spanish
528,Un duelo samurai,2019-01-08,K,Spanish
529,Contemplative Morning Drink,2019-01-08,T,English
530,¿Sexo o Bullying?,2019-01-04,K+,Spanish
531,Aevitas,2016-03-15,T,English
532,Un día bizarro,2018-12-29,K,Spanish
533,Regalos para mis fans,2018-12-28,K,Spanish
534,Spider Lilies,2017-12-17,T,English
535,Un deseo por alguien especial,2018-12-27,K,Spanish
536,Someone Else's Christmas Story,2018-12-26,K+,English
537,Eine unheimliche Nacht,2018-12-21,K,German
538,Todo por un pavo,2018-12-20,K,Spanish
539,The Rigors of Love,2013-10-23,T,English
540,A Red and Yellow Winter,2018-12-10,K,English
541,Especial Navidad: Madohomu 2,2018-12-09,K,Spanish
542,"Heel, Toe",2018-12-09,K,English
543,Especial Navidad: Madohomu,2018-12-08,K,Spanish
544,Especial Navidad: Kyosaya 2,2018-12-06,K,Spanish
545,Especial Navidad: Kyosaya,2018-12-04,K,Spanish
546,My Heart is tired,2018-10-10,T,English
547,Why magic girls exist but magic guys don't,2015-10-13,T,English
548,Madres consecuentes,2018-11-22,K,Spanish
549,From Across the Seas,2015-01-29,T,English
550,Starcrossed Sisters,2017-03-12,T,English
551,Contracted a Kiss,2018-11-27,K+,English
552,ever green,2018-11-26,T,English
